##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
NAME_SS_INFANTRY;Waffen-SS Infantry;Waffen-SS Infanterie;;;Waffen-SS Infanterie;;;;;;X
9300001desc;1936 was a turning point for the NSDAP and for the economy. Hitler's initial economic policies had been successful. Confidence was high, unemployment was down to 1.6m. Schacht had initially accepted the need for government deficit financing in the reflation of the new economy but he was becoming concerned at the distortion of the economy due to rearmament. He was worried at the increasing strains on the budget and on the mounting balance of trade deficit. Schacht wanted to increase exports and slow the increase in arms expenditure. As Schacht failed to convince Hitler of the necessity for scaling down rearmament, Hitler became impatient with him and put Goering in charge of the second plan for German economic recovery. It became known as the four year plan. This plan is key to our understanding of how far Hitler was creating a war economy in peacetime or actually creating the conditions necessary for war in the future.;1936 a été un tournant pour le parti nazi et pour l'économie.Les premières politiques économiques d'Hitler avaient été des succès. La confiance était élevé, le chômage était tombé à 1,6 m. Schacht avait d'abord accepté la nécessité de financer le déficit du gouvernement par la relance de l'économie nouvelle, mais il devenait préoccupé par la distorsion de l'économie en raison du réarmement. Il était inquiet sur les ponctions de plus en plus sur le budget et sur l'équilibre de montage du déficit commercial. Schacht a voulu augmenter les exportations et ralentir l'augmentation des dépenses d'armement. Comme Schacht n'a pas réussi à convaincre Hitler de la nécessité de réviser à la baisse le réarmement, Hitler est devenu impatient avec lui et à donc nommé Goering en charge du deuxième plan de relance économique allemand. Il est devenu connu sous le nom de plan de quatre ans. Ce plan est essentielle à notre compréhension de la façon dont Hitler a imaginé la création d'une économie de guerre en temps de paix ou comment créer les conditions nécessaires à la guerre dans le futur.;;;1936 war ein Wendepunkt für die Nazi-Partei und für die Wirtschaft. Hitlers anfängliche Wirtschaftspolitik war erfolgreich. Das Vertrauen war hoch, die Zahl der Arbeitslosen sank auf 1,6 Millionen. Schacht hatte zunächst die Notwendigkeit der Defizit Finanzierung zur Belebung der neuen Wirtschaft akzeptiert, aber er war immer besorgt über die Unausgeglichenheit der Wirtschaft aufgrund der Aufrüstung. Er war besorgt über die zunehmenden Belastungen für den Haushalt und darüber, wie man das Handelsbilanzdefizit ausgleichen könnte . Schacht wollte die Exporte steigern und den den Anstieg der Rüstungsausgaben senken. Als Schacht Hitler nicht von der Notwendigkeit, die Rüstungsausgaben zu senken, überzeugen konnte, wurde Hitler unzufrieden mit ihm und übergab Göring die Verantwortung für den zweiten Plan, der wirtschaftlichen Erholung . Er wurde als  Vierjahresplan bekannt. Dieser Plan ist der Schlüssel zum Verständnis, wie weit Hitler bei der Schaffung einer Kriegswirtschaft zu Friedenszeiten war, oder zumindest die notwendigen Bedingungen für einen zukünftigen Krieg schaffte.;;;;;;X
9300001a;Prioritize Industry;Priorité sur l'Industrie;;;Schwerpunkt Industrieausbau;;;;;;X
9300001b;Prioritize Panzer-Korps;Priorité sur Panzer-Korps;;;Die Panzertruppen haben Vorrang!;;;;;;X
9300001c;Prioritize Luftwaffe;Priorité sur la Luftwaffe;;;Die Luftwaffe hat Priorität;;;;;;X
9300001d;Prioritize Kriegsmarine;Priorité sur la Kriegsmarine;;;Wie setzen auf eine starke Kriegsmarine;;;;;;X
9300002name;Polish Campaign Goals;Objectifs de la campagne Polonaise;;;Ziele des Polenfeldzugs;;;;;;X
9300002desc;As your troops invade Poland, you have the opportunity to gamble on your campaign's outcome and be rewarded if you succeed.\nYou will need to conquer Warsaw within 30 days and lose less than 50,000 men in this campaign.\nIf you succeed, you will seize ressources, blueprints and your generals will gain new skills. However, were you to fail, you would then receive the appropriate punishment.\nAre you up to the challenge?;Comme vos troupes envahissent la Pologne, vous avez la possibilité de parier sur les résultats de votre campagne et vous serez récompensé si vous réussissez. \NVous devrez conquérir Varsovie dans les 30 jours et perdre moins de 50.000 hommes dans cette campagne. \NSi vous réussissez, vous gagnerez des ressources, des plans et pour vos généraux de nouvelles compétences. Cependant, si vous échouez, vous recevrez alors la sanction appropriée. \NAllez vous relever le défi?;;;Da Ihre Truppen Polen überfallen, haben Sie die Möglichkeit um das Ergebnis Ihres Feldzugs zu spielen. \nWenn Sie es schaffen, Warschau innerhalb von 30 Tagen zu erobern und bei Ihrem Feldzug weniger als 50.000 Mann verlieren, waren Sie erfolgreich. \nSie werden Ressourcen und Blaupausen erbeuten, außerdem werden ihre Generale neue Fähigkeiten hinzugewinnen. Wenn Sie scheitern, werden Sie eine entsprechende Strafe erhalten. \nNehmen Sie die Herausforderung an?;;;;;;X
9300002a;Let us gamble!;Je veux bien tenter le pari;;;Wer nicht wagt, der nicht gewinnt!;;;;;;X
9300002b;I don't feel confident;Je ne me sens pas confiant;;;Krieg ist kein Glücksspiel.;;;;;;X
9300004name;French Campaign Goals;Objectifs de la campagne Française;;;Ziele des Frankreichfeldzugs;;;;;;X
