MODIFIER;INF;CAV;MOT;MECH;L ARM;ARM;PARA;MAR;MTN;GAR;HQ;MIL;MR F;INT F;STR B;TAC B;NAV B;CAS;TRA P;FL B;FL R;BB;CL;CA;BC;DD;CV;CVL;SUB;NSUB;TRA;CV;INT F;rsv_33;rsv_34;rsv_35;rsv_36;rsv_37;rsv_38;rsv_39;rsv_40;d_01;d_02;d_03;d_04;d_05;d_06;d_07;d_08;d_09;X
MOV_FROZEN;-25;-30;-10;0;0;0;-25;-25;25;-25;-25;-25;0;0;0;0;0;0;0;0;0;-80;-90;-80;-80;-90;-80;-90;0;0;-90;-80;0;0;0;0;0;0;0;0;0;25;-10;0;0;25;25;-25;0;0;X
MOV_RAIN;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;0;0;-30;-30;-30;0;0;0;0;0;0;0;0;-30;-30;-30;-30;-30;-30;-30;0;-30;X
MOV_STORM;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;0;0;-70;-70;-70;0;0;0;0;0;0;0;0;-70;-70;-70;-70;-70;-70;-70;0;-70;X
MOV_MUDDY;-60;-75;-93;-92;-92;-92;-50;-50;-50;-50;-50;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;-93;-92;-92;-50;-50;-60;0;0;X
MOV_NIGHT;-98;-98;-70;-70;-70;-70;-95;-95;-95;-95;-80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-95;-70;-70;-70;-95;-95;-98;0;0;X
MOV_PLAIN;5;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;5;5;5;0;0;X
MOV_DESERT;-5;0;-50;10;10;10;-5;-5;-5;-5;-5;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;-50;10;10;-5;-5;-5;0;0;X
MOV_MOUNTAIN;-50;-60;-80;-80;-80;-80;-50;-50;-30;-50;-50;-40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-30;-80;-80;-80;-30;-30;-50;0;0;X
MOV_HILL;-20;-20;-30;-30;-30;-20;-20;-20;-15;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15;-30;-30;-20;-15;-15;-20;0;0;X
MOV_FOREST;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-40;-40;-40;-40;-40;-40;-40;0;0;X
MOV_JUNGLE;-70;-90;-93;-92;-92;-92;-70;-60;-70;-70;-70;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-70;-93;-92;-92;-70;-70;-70;0;0;X
MOV_SWAMP;-60;-70;-80;-70;-70;-70;-60;-55;-60;-60;-60;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-60;-80;-70;-70;-60;-60;-60;0;0;X
MOV_URBAN;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-30;-30;-30;-30;-30;-30;-30;0;0;X
EOF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
